gene,8C_C1,8C_C2,2PN_1,2PN_2,2PN_3,2PN_4,2PN_5,2PN_6,2PN_7,2PN_8,2PN_9,2PN_10,3PN_1,3PN_2,3PN_3,3PN_4
TRIM43B,0.660383409,0.620916043,-1,-1,1.676209673,0.644266807,-0.538650215,1.491425432,1.382920552,2.488116628,0.121398308,0.647429723,-1,-0.081081998,2.139144886,0.35592081
GOLM1,0.693209884,0.586002188,1.491054217,1.835910136,0.84632907,0.61219886,0.408508263,1.381437296,1.266864797,0.759358744,1.170045101,1.3698101,0.502187646,0.471321494,1.436439044,1.805542994
APEX2,0.670500509,0.598766658,0.675798682,0.768784346,1.325103339,1.048320588,1.406729015,1.057394109,1.083656674,1.289902744,1.113485431,1.400593762,1.04101666,1.404079373,1.067265073,0.868814949
PIAS4,0.668555594,0.597654825,1.309287706,1.841771917,0.70327822,1.045160577,0.702680701,1.18932802,0.858011636,0.892502481,0.687234486,0.874908712,0.676284174,0.74070541,1.37596925,0.962546806
AC112128.1,0.648800718,0.61661686,0.459503611,0.414518437,0.38589142,0.798151161,0.635288371,0.79433403,0.648026892,0.773539251,0.719731664,0.687100073,0.626406687,0.693258731,0.944947661,0.273914761
SEC14L1,0.743628513,0.519893199,1.035610623,1.037586639,0.381831211,0.766799227,0.314187553,0.828596294,0.864778695,0.525033787,0.68134039,0.703962511,0.314642355,0.660133388,0.880109923,1.072093214
PIP5K1B,0.688421513,0.572136861,1.373832431,1.604753368,1.111670398,1.10519738,1.292709185,0.969947784,1.412901506,1.513449206,1.257177528,1.231549612,1.313697897,1.262710165,1.362873239,1.278914032
TMEM252,0.584167768,0.667675647,1.587010592,1.509936572,-0.684657632,-1,0.345075602,0.151866078,0.597115191,0.423836768,0.913122934,0.594208627,-0.440397607,-1,0.77160688,1.119896957
ZNF808,0.733344868,0.516768654,0.075603525,0.947501851,0.35191491,1.033796767,0.69132988,0.916077133,0.731015021,0.726881751,0.602749538,0.756941756,0.578700396,0.683050282,1.049806248,0.696999664
ZNF221,0.702119353,0.544522699,-0.504791017,-0.025690764,-0.354330194,0.802275745,0.174516261,0.573976138,0.538007752,0.253984603,1.020771762,0.828626196,0.02660496,0.90555536,0.511808656,-0.492177174
JAM3,0.639982855,0.604550572,1.248072873,1.820117812,0.5539683,0.58490538,0.543154197,1.140747122,0.744374435,0.729944604,0.601175519,0.877244841,0.735923382,0.449777905,1.033119643,1.178622464
VAMP2,0.530327406,0.709254014,0.479029688,0.849730987,0.83781203,1.048688403,0.812750566,1.009905774,0.944219844,0.119824785,0.467055823,1.325393732,0.017878514,0.887035001,0.81989544,0.920062563
C14orf178,0.689237892,0.547627537,1.218070241,1.332587912,1.280215168,1.150310868,0.6469559,1.312341138,1.251431364,1.387261655,1.166520989,1.240832446,1.419553799,1.166103456,1.540141699,1.439553417
CDS2,0.685783107,0.549463934,1.031280783,1.481324221,1.035479769,0.775362979,0.996923006,1.235561523,1.066302812,1.149819625,0.981496095,1.221695851,0.98949805,1.097451328,1.357167678,1.458601593
IQCK,0.601687967,0.631732154,0.715510307,0.548839942,0.952939071,1.105385499,0.710799594,0.639606402,0.831158971,1.091728493,0.618934513,1.010215549,1.012316181,1.135079515,0.832266726,0.861349722
ARFGAP3,0.678921803,0.553672865,0.986598967,1.155111847,0.917944728,1.11012116,0.628216098,0.819577954,0.853126258,0.943256924,1.255087891,1.080136728,0.966685223,0.812918368,1.097787443,1.039059797
PRDM2,0.646319278,0.580306156,0.636273371,0.610874107,0.48332205,0.71871233,0.446849232,0.908578847,0.623320121,0.295969659,0.458045693,0.77728161,0.46316096,0.392576426,1.005639245,0.680628129
FRG2C,0.630799257,0.592682843,-0.883029698,-1,1.784814285,0.190163271,-1,2.12255597,0.286848819,1.717430493,0.691480046,1.87912181,-0.589357883,-0.545208782,1.319301604,1.469975685
ZNF677,0.643764171,0.57735609,1.193146869,1.648725153,0.901223128,1.263547071,1.009059344,1.135825379,1.109315934,0.899492032,1.05386254,1.130705494,1.116111409,1.105282589,1.472673677,1.421452391
PLA2G4C,0.522524303,0.695152942,0.59831033,0.795501634,-0.326398578,-0.020016502,-0.263091571,0.491203077,0.132271219,-0.43741584,0.696024905,0.434313042,-0.933716351,0.148519674,-0.256837731,0.46870304
ARMH4,0.616914733,0.59796237,0.59710399,1.03563903,0.471630065,0.551989725,0.212300027,0.619346839,0.646889903,0.31615053,0.604800087,0.842528176,0.525081753,0.532873953,0.694697312,0.791378462
KIF4B,0.64172906,0.570241514,0.304910616,0.494464058,0.275674766,0.36477587,0.608378284,0.203266842,0.10176975,-0.155057962,0.053580858,0.037500999,-0.119952126,0.132189864,0.344669662,0.724372387
CDC27,0.603218445,0.607671152,1.434686403,1.584639532,1.204770665,1.154424886,1.11734323,1.375371853,1.244190996,1.09643307,1.249402856,1.421066155,1.234451223,1.258922808,1.655547555,2.142936683
ADH5,0.558055318,0.64711517,1.34936632,1.659309284,1.315641668,1.127878385,1.236853043,1.133814087,0.914747217,1.400199228,1.22927346,1.03838845,1.219621458,0.871149058,1.088014824,1.541630283
NCOR1,0.598671251,0.604197207,0.484601178,0.594721848,1.022453941,1.074545836,0.967057058,1.100340212,1.176163346,1.016957331,1.147909946,1.301300043,0.966268106,1.078047707,1.34433194,1.069477913
WARS2,0.588359382,0.613918065,0.802383188,1.077434187,0.528979958,0.172386883,0.389680055,0.424956679,0.981554654,0.790279599,0.920775584,0.825223232,0.579657439,0.718398173,0.681324647,0.768970078
C10orf82,0.691940474,0.509940733,1.638723214,2.174144738,0.36763393,-1,-0.727440798,1.037940176,0.747152397,0.391721597,0.720481058,0.50214583,-0.837956103,-0.897670352,0.817982079,1.49937073
ZNF574,0.620066062,0.578109368,0.726522969,1.754596302,0.689679228,0.900588917,0.728550185,1.395634222,0.925743747,0.842373184,0.646057035,0.719574971,0.749983839,0.70823907,1.5255975,0.522355279
NFRKB,0.627082756,0.57082759,1.01110884,1.434123844,0.98460251,1.093519741,0.813787813,0.851069053,0.918420188,0.610683367,1.023302267,0.84123536,0.753441871,0.726555983,1.167954128,0.941886682
PACSIN2,0.66241895,0.529775061,1.347368075,1.51209431,0.796862634,0.797081385,0.000247694,0.969439257,0.87255267,0.963393857,0.91130583,0.672684591,0.758441556,0.741222767,1.406087938,1.026096708
HSPA4L,0.5757486,0.610300124,0.744019017,0.956518127,1.090914819,0.601912197,0.590044488,0.868680932,0.506356183,0.12278124,0.44222335,0.410548473,0.53427899,0.428400961,0.792401496,1.098699091
GNPAT,0.642634961,0.539832172,1.184287891,1.858547524,0.889778697,0.812937956,0.95307496,1.08284793,0.998596861,0.908546045,0.943306925,1.233533404,0.603380472,0.538968633,0.598620541,1.203427103
ATP8B1,0.636502038,0.545630057,0.358741352,-0.038898313,1.034122488,0.986817848,1.042083059,0.730715189,0.947167868,0.789042587,1.15832449,1.243063113,0.899126554,1.089109943,0.889684721,0.024595213
LACC1,0.536864992,0.643505381,0.201771712,0.517776725,0.949815504,0.05167452,0.105490428,1.501389036,0.832736474,1.307343901,-0.01419024,0.41812074,0.135425264,-0.367593227,0.837291843,-0.72177663
TAF11L12,0.352883386,0.823863224,-1,-1,2.243505842,0.205620318,-1,2.291754792,1.516440969,3.121164105,0.970993883,0.818752074,-1,-0.243344497,1.645504895,-1
AP3M2,0.640554575,0.530706975,0.801580959,1.375082459,0.61618869,0.902943334,0.864989017,0.32621375,0.623031054,0.960515774,1.196343402,1.219003944,0.473545943,1.274848936,1.357949895,0.32263891
CPED1,0.617355499,0.55342107,0.864688145,1.065713754,0.756035743,0.831542619,0.599543142,0.604562123,0.164768509,0.727275882,0.716765946,0.59027057,0.143483211,0.20207126,0.630223902,1.000739191
COG8,0.629542722,0.534999637,1.099811117,1.594151688,0.80337257,0.998818372,0.857707999,1.112611704,0.951181504,1.093491727,0.718673712,1.15374781,0.865553323,0.957115063,0.957309164,0.904174477
BLCAP,0.722466835,0.439976236,1.463172896,1.996857088,1.043940036,0.995799406,0.969837374,1.290270625,0.849694953,0.650751695,1.233143898,1.403809867,0.845571535,1.186730941,1.558958038,1.261304036
HIRIP3,0.641741546,0.520638358,1.351293525,1.880541502,0.826386994,0.83022331,0.472434923,1.369846611,0.796068773,0.804964557,0.736558715,0.946690177,0.436814395,0.737374038,1.188614104,1.314438385
ZNF705A,0.553954837,0.604242366,-1,-1,1.306184115,0.43944528,-0.271514407,0.960564143,0.441311719,0.502725288,0.616977892,0.096023495,-0.552330578,0.148175244,0.23783066,0.55184861
CMC4,0.351788,0.805194433,0.888247751,1.149858687,0.793865996,0.736584762,0.323050483,0.694717048,1.003511326,1.049406047,0.847582159,0.362786035,0.245739873,0.474001833,0.47553318,1.034140152
CDCA7L,0.53597807,0.620480438,1.691271709,1.861998207,1.07630358,0.965307556,0.674123683,1.465483233,0.61252193,0.630091294,1.093634577,1.033672197,0.418329967,0.257890871,1.364357349,1.784368054
RSU1,0.570022175,0.580233658,1.239254921,1.666351719,1.133229683,1.149929419,0.956828834,1.063523251,0.971985359,0.961917804,1.096435156,0.943781066,1.133257484,1.146472853,1.106488714,1.387627377
PEX11B,0.620462965,0.521539925,1.329099339,1.828961507,0.534652088,1.187123776,0.827142728,1.474206573,0.8632315,0.852438614,0.860856666,1.157090582,0.965649188,1.0652717,1.497242355,1.407412583
KAT7,0.644329658,0.494661393,0.789874889,1.46124574,0.66373936,0.998628332,0.914205706,1.176848298,0.890294066,1.109761742,0.708653793,1.064128025,0.808204421,1.324515594,1.602701513,1.090145143
H2AC11,0.667200428,0.471245345,0.937714383,1.01532496,1.123711534,1.032833035,-0.211434367,1.761705675,0.717137042,1.010070874,0.781576021,0.658126684,-0.034396656,0.64616573,1.311497234,0.67223524
RPS6KC1,0.564141057,0.572968367,0.952807774,1.30515257,0.636197431,0.734461419,0.992305874,1.084555795,1.011852837,1.003007738,1.114186293,1.253907001,0.790111586,0.988718675,1.233340057,1.100433404
POLR3D,0.580797632,0.553271794,0.788970085,1.008479234,0.828567422,0.903238545,0.682418208,0.968933214,0.686710879,1.024721223,0.845429714,1.153024186,0.700852321,0.88038686,1.147257592,0.854772218
U2AF1L4,0.503845137,0.627210241,0.69637937,1.241012498,0.787453531,1.027330033,0.506745384,1.167177274,0.98041855,0.687214943,0.620998268,1.123157194,0.803314991,1.346853103,0.605042666,0.625888898
C19orf47,0.654866243,0.475276804,0.73527785,1.341540563,0.543148601,0.720928192,0.63448251,1.331432966,0.800863628,0.793562565,0.727674941,0.943885106,0.421383927,0.796771941,1.394147043,0.512513099
TTC39C,0.495094409,0.63450105,0.15576435,-1,0.399983846,0.895167143,0.614061872,0.619654315,0.611598311,0.887087385,0.758110432,0.729386661,0.396063456,0.866018821,1.228869051,0.34470717
APBB2,0.583758234,0.541353427,0.480714755,0.959582825,0.410977722,0.628988354,0.346411268,0.808247039,1.026855087,0.841701577,0.740008951,0.61964931,0.736273448,0.791100548,1.028893194,0.345970353
PRR14L,0.537456528,0.58411391,0.75604176,1.042201693,0.63589593,0.919872752,0.175891438,0.937140604,0.55393264,0.724935251,0.641390218,0.775623335,0.640075774,0.802717298,1.011446946,0.878809047
TCOF1,0.645073318,0.476105846,1.065066324,1.499271143,0.655580671,0.955639268,0.794984657,1.073548264,0.80277865,0.86145549,0.739324433,0.88650522,0.686332067,0.859073298,1.410905395,0.905931003
STK31,0.722747252,0.39584898,0.374273661,0.359444631,1.167264448,1.411653034,1.439266518,0.952116655,0.979492423,1.210116177,1.144242834,1.242599065,0.482265575,1.177365634,1.07699487,1.031221779
DLST,0.54682252,0.569944556,1.485186887,2.124280173,0.325397222,0.045628833,0.11507805,1.070646561,0.94442162,0.399758323,0.837680085,0.826485891,0.12147383,0.279417107,1.058697374,1.161012034
AC022137.3,0.52621427,0.587514983,1.01530274,1.557829855,0.806532017,1.104918801,0.6864323,0.803906815,0.782774304,0.744384371,0.788809154,0.783162146,0.765151787,0.934199038,1.167954128,1.057243774
ZFAND3,0.564269693,0.549444693,0.820243967,1.165932774,0.293662148,0.855925882,0.245110513,0.918615401,0.804074658,0.126434366,0.752486518,0.662719876,0.334789596,0.574083033,0.882468127,0.726442665
ZSCAN5C,0.466028904,0.64190898,-0.774960271,-1,0.020308733,0.282239076,-0.147565085,0.202062533,-0.339403811,-0.801498325,0.564680028,0.458529224,-0.169848604,-0.109488778,1.105023161,-0.814945787
ASCC2,0.75556472,0.348497818,0.946542652,1.558201638,0.492091396,0.575100631,0.399706076,1.031794512,0.626945596,0.634583161,0.754194547,0.964971224,0.669409867,0.845638834,1.120512073,0.875442291
ORC2,0.640237886,0.460285492,0.915937911,1.356786641,1.053416908,0.782015012,1.063030711,0.89786847,0.8385543,1.279499946,1.104936878,1.202517469,1.030637362,0.923423141,1.313222679,1.203955191
KDM4D,0.566939145,0.53318693,0.831354327,1.070723695,0.73515272,0.582559903,0.249520472,0.793751911,0.751740412,0.708864487,0.645299923,1.157471275,0.652927909,0.755919807,0.622779585,0.668791224
LRRC38,0.505887533,0.593892097,0.762544419,0.673910213,1.166823156,0.765484393,-1,1.178781777,1.699388979,0.830898463,0.849176985,1.339137724,0.072375591,1.048457195,1.10705416,0.738643005
AD000671.2,0.622451524,0.475554538,0.879323351,1.36158374,0.285274363,1.039112189,0.542814476,1.104547198,0.862816165,0.599075931,0.595490159,0.904684879,0.835095656,1.104221742,0.519550271,0.746851681
RIBC2,0.702038288,0.394521723,0.646061842,0.838270779,0.062538365,0.818354777,0.529622818,0.960306637,0.591903544,1.270717956,0.807297319,0.869351076,0.069989445,0.792688729,0.909540518,0.059152404
EIF4ENIF1,0.561027643,0.533142523,1.310846191,1.19978698,0.63909814,0.679856619,0.296687782,1.083913071,0.671903861,0.694679154,0.944434552,0.965014815,0.594724057,0.6824746,1.068519806,1.447748735
TACC3,0.534137586,0.55471939,1.15095712,1.561464536,0.683887962,0.589012122,0.75254211,1.167417772,0.581293571,0.519548696,0.614548375,0.953559696,0.614355697,0.375256558,1.177541694,1.426612748
INTS9,0.615635206,0.470263447,1.197950922,2.084938932,0.606445107,0.681929862,0.712992793,1.243141523,0.574058598,0.848250407,0.698778004,0.85118696,0.398091117,0.795060408,1.322934877,1.12510504
FNTB,0.568500697,0.515798498,1.891141283,2.508267312,1.19093201,0.532129105,0.637507641,1.508008792,0.69686824,0.544015305,1.051685316,1.259340825,0.61762846,0.737603755,1.364621152,1.492907829
MED20,0.576094642,0.508150202,1.457102949,2.153395606,1.410480294,1.306755395,1.284852641,1.369551471,1.125527783,1.362529596,1.186395174,1.649732747,1.004142502,1.372003636,1.654401912,1.249508981
FRMD3,0.529648217,0.553457744,1.70950757,1.952533242,0.78321316,0.090748518,0.507271744,1.236044748,0.954146423,0.517796894,1.062054871,0.92558393,0.339377496,0.01631223,1.50747023,1.87658568
UCP2,0.483686838,0.599123265,1.578132199,2.089616192,1.025067757,1.2705929,0.925886764,1.560139861,1.016349205,0.9903508,1.283548616,0.998070187,1.093182057,1.154160943,1.128836574,1.604219463
SPICE1,0.560724076,0.513069835,0.441075687,0.308325966,0.364842428,0.83297119,0.637622899,0.74812187,0.564884458,0.721252926,0.729499133,0.655312406,0.605734817,0.630488997,0.898766745,0.143366155
OSBPL10,0.575438878,0.496462877,1.507875023,1.995404958,0.131073048,-0.01344493,0.226351113,1.208799985,0.478601267,0.136457058,0.884321402,0.727013847,-0.202400389,-0.0307398,1.101993356,1.631097413
TTLL5,0.61168731,0.457507213,0.750039675,0.992440268,0.55994766,0.688532831,0.438170548,0.904029706,0.927684984,0.809838449,0.831918254,1.096875268,0.584580533,0.9767573,1.154114957,0.80793403
ODF2,0.55502077,0.513855917,0.685034113,1.190265849,0.36999003,0.531200241,0.479149444,0.944997499,0.727178055,0.647237985,0.810859506,0.887386534,0.361772019,0.786905456,1.024215484,0.750858312
UBN2,0.591084317,0.476466134,0.013082131,0.295594806,0.438926636,0.820125566,0.683643738,0.489742543,0.487689735,0.387333578,0.81860313,0.540726416,0.449302486,0.405108569,0.51824433,0.200455953
TRIM6-TRIM34,0.569525242,0.49456517,0.944185523,1.725281367,0.527774083,-0.338762686,0.184057125,0.853062302,0.527109725,0.355273513,0.800724568,0.167312312,0.289799583,0.091125422,1.157039802,1.044059341
TRIT1,0.604154852,0.458437067,0.906525752,1.019188303,0.956016444,0.826591108,0.931560266,0.830863011,0.863602231,0.955562288,1.194457773,1.05528417,0.785348344,0.98675402,0.626545486,0.352966461
AL139011.2,0.667106946,0.394679029,1.252183003,1.843711227,0.823148724,0.95318402,0.989624314,1.069229484,1.076880028,1.253769896,0.905284557,1.030477727,1.084144736,1.031943022,1.321873908,0.988443621
RAD18,0.50411703,0.556946106,0.500028337,1.419652958,0.636705791,0.760933308,0.769894921,0.866804167,0.926940322,1.024075398,0.952287312,0.891931823,0.924991823,0.876770579,1.007737539,0.95398311
AVEN,0.358480991,0.701594405,1.536793832,1.652585133,0.57864769,0.612823683,0.115229297,1.082130564,0.474506474,0.406223797,0.951844822,0.51686695,-0.287579373,0.222738575,1.045443469,1.509830786
CCDC27,0.487435971,0.572281031,1.502915854,2.043527642,0.566917106,-0.505906035,-0.127428034,1.390615329,0.711997348,0.407810592,0.788489028,0.831931978,-0.479436579,0.227147745,1.463525908,1.580074584
TSC1,0.532635537,0.526896523,0.670245296,1.159900606,0.369534965,0.702058901,0.384943245,0.678978924,0.677924346,0.592410059,0.544040621,0.518743397,0.243306236,0.426455629,0.883294543,0.551573681
ZNF770,0.480024775,0.577424927,0.698008629,1.031918007,1.337985886,1.05573449,0.661763766,1.156384064,0.827217373,0.863068694,0.917297503,1.156300739,0.920623364,0.976044994,0.831380518,1.339492782
CACNA2D1,0.522528345,0.53465525,1.005697324,1.289740974,0.297594419,0.36585754,0.263142799,0.855168671,0.509858309,0.026728061,0.689502428,0.609957486,0.248949943,0.48536192,0.599498366,1.300156403
SPECC1,0.586677755,0.470306536,0.821699325,0.731327627,0.384962039,0.777858292,0.54236052,0.93806573,0.524229643,0.319732158,0.459651479,0.581944427,0.319166669,0.287990406,0.92868404,0.859987494
POLR3B,0.640207258,0.416490225,0.176374037,0.541689176,0.690734095,0.75391237,0.799543104,1.064459112,0.739884782,0.712513921,0.685248422,0.926929377,0.789601228,0.467585317,0.942447833,0.968093076
NT5DC3,0.609501672,0.444844536,0.343321726,0.765527069,0.966279511,0.400199056,0.788467394,0.50668142,0.787744055,0.948111007,1.111468519,0.794514954,0.546198299,0.740735233,1.302370762,0.477615635
NAALAD2,0.583244355,0.469475767,0.485293876,0.697550497,0.942245684,0.692704715,0.945566857,0.428693508,1.084318127,0.672426965,0.679075139,0.800146555,1.045254895,0.041759312,-0.11657718,0.661567273
SMIM29,0.744213473,0.304101298,1.468740086,1.483052836,0.607573821,0.964639955,0.718736958,0.954408378,0.70576855,0.917314578,0.776246244,1.279086509,0.524154044,1.067039222,0.798867531,0.160379382
ATF7,0.499950054,0.546705247,0.636589788,1.334732334,0.318010507,0.423949189,0.361963424,1.061561793,0.555157471,0.58369617,0.662845343,0.420149734,0.318074401,0.427358691,0.968615131,0.895114065
SQOR,0.504219184,0.541940257,1.534468176,2.163915366,-0.07299319,0.15519054,-0.195987534,1.102037308,1.02108547,0.301264885,1.170614583,0.37228145,-0.544579053,0.17435583,0.795816154,1.440581979
GOLGA2,0.540796434,0.504494242,0.314995551,0.264876826,0.257199627,0.929572486,0.490490551,0.387306519,0.585197704,0.391350666,0.447239454,0.731348185,0.43766211,0.596233786,0.71766185,0.346881436
FBXW11,0.711111126,0.33215921,0.92565609,1.236042226,0.902885984,0.8815734,0.753380264,0.927370671,0.836501596,0.869966698,0.444845159,0.61535446,0.76702088,0.734773755,0.854598348,0.908619147
AP2B1,0.507327383,0.530548275,1.124665262,1.617293968,1.217648945,1.327722976,1.186159304,1.217528161,0.77819779,1.370459794,0.87916317,1.212976876,1.379991324,1.301737536,1.315087642,1.231034058
TAF11L11,0.40875369,0.628265573,-1,0.302354526,2.447584826,-0.841648818,-0.346261344,2.134846527,2.099035971,3.174646131,0.803518568,0.899640676,-0.161063556,0.359242617,1.701293853,-1
VIRMA,0.544029577,0.487439024,-0.192162154,-0.238048945,0.473137496,0.726527942,0.697582478,0.685521849,0.373138476,0.78335794,0.792204132,0.863032619,0.721488607,0.623475065,0.678962189,-0.044659872
CDKN1A,0.45691296,0.573995712,0.732942072,-0.496323555,1.122333859,0.961105345,-0.319125534,0.9849515,0.709527577,0.860508456,0.515306109,-0.197847589,-0.374938833,0.748406128,0.496510642,0.310575432
PPME1,0.611991872,0.418381015,1.109677745,1.444942139,0.637784129,0.869008705,0.67501298,0.713290907,0.838138091,0.623536347,0.885008439,0.929467206,0.375212811,0.965428341,0.862339111,1.151502233
PIP4K2C,0.585887144,0.444368834,1.121947352,1.925655059,0.60270585,1.146705264,1.208110941,1.515666445,1.263839323,1.165990861,1.274553385,1.148924555,1.065158286,1.00013461,1.717590958,1.399409777
AVP,0.507501953,0.522149779,-0.385852378,-0.59500371,-0.683391689,-0.731977724,-0.214596697,-1,-1,-1,-1,-0.704503448,-1,-1,-1,-1
TADA2A,0.581678239,0.442799023,1.320742045,1.450343503,0.754744983,0.780572628,0.620176566,1.042460131,0.668611393,0.921478484,0.926480843,0.784878433,0.773206633,0.798887958,0.990654203,1.654934788
ATP6V0D1,0.519435639,0.501828528,1.389672584,2.038374933,0.822669126,1.162395017,0.984506071,1.389946404,1.192983987,1.138085971,1.092520641,1.205037816,0.500818073,1.167349832,1.286015214,1.296813001
FAM204A,0.574293502,0.443615914,0.387148762,0.003436232,0.651425145,0.898467764,0.552421803,0.488089245,0.637377139,0.732226605,0.783961648,0.620787425,0.76542236,0.873224779,0.361004417,0.359443872
SERPINE2,0.461077084,0.555839851,0.857281283,1.142057987,0.718632871,0.843395686,0.904809803,0.791343425,0.686666294,0.976038202,0.685955341,0.624857232,0.537536649,0.322741995,0.888896078,0.904332786
ELMO1,0.495247723,0.52083528,1.083275021,1.554270443,0.147623464,-0.096251579,-0.172696458,0.823465361,0.365125422,-0.547772128,0.872222957,0.34601284,-0.605337352,-0.10267031,0.715801684,1.261761129
CSNK2A1,0.585906639,0.428930379,0.631811343,1.024125933,0.689296425,0.965689596,0.873675741,0.645377167,0.608491802,0.983388375,0.860131353,0.8680114,0.765275799,0.760991971,1.167485407,0.433198397
AL672142.1,0.563744193,0.446654734,0.998054526,1.467926866,0.842171917,1.519693355,0.881838061,0.879100756,0.3455725,1.11896142,0.72639945,1.280888048,0.983144418,1.3483146,0.656498565,0.292575692
STAM2,0.531476746,0.477884363,0.999827464,1.43160449,1.100980886,0.746184261,1.094581523,0.642779097,0.792522589,1.144550546,1.033127691,1.092665916,1.193925356,0.807849,0.606892757,1.168543444
ZNF397,0.526081338,0.482486975,0.59628154,0.988668765,0.540166866,0.842062783,0.759822577,0.841940248,0.835197034,0.911199384,0.70768444,1.051524505,0.73479871,0.606366208,0.911553835,1.128178834
RBM28,0.534520057,0.473976316,-0.549487931,-1,0.49856995,0.731476914,0.729748426,0.631889402,0.462957877,0.810024666,0.818117306,0.801315882,0.709010664,0.823801783,0.68459584,-0.002921576
ZNF829,0.514957018,0.492530194,0.062063153,0.640997315,0.314850858,0.744544175,0.728159727,1.074868714,0.839524868,0.755365442,0.787104746,0.785922278,0.609027215,0.756003373,1.043817165,0.089750079
C19orf38,0.501631688,0.496528916,0.811124191,1.428698525,0.606096078,0.983757007,0.720494863,0.688525268,0.434008271,0.770281607,-0.016719076,0.9171675,0.268679748,0.567139574,0.433717683,-0.783130556
CEP63,0.501196379,0.496897421,0.476323882,0.350262559,0.727397688,0.630134958,0.594503596,0.418796304,0.648808225,0.7448951,0.669445476,0.769417725,0.663170782,0.584812301,0.723474061,0.965991042
ELP3,0.438050978,0.55990483,1.092401647,1.824662933,0.726332824,0.879319968,0.987924084,0.991026387,0.65997179,1.005443927,0.739043829,1.053942329,0.995312117,0.895977436,1.198889015,1.135310787
AHRR,0.487067213,0.506808391,0.724221047,0.854553246,1.074904899,0.961407424,0.915166742,0.564479881,0.714372265,1.002438912,0.712888077,1.014630149,1.000711486,1.261441785,0.832527434,0.881328783
SEC24C,0.594240908,0.398104488,1.026243911,1.718284903,0.696918772,0.70880072,0.916968322,1.170873112,0.89849997,0.744109837,1.053149923,1.110332761,0.752107477,0.864990261,0.761106561,0.973765936
MOK,0.484478219,0.507844947,0.864881438,1.374884843,0.299375879,0.409490492,0.109909456,0.729654877,0.674495463,0.460015585,0.634587392,0.89114664,0.088675697,0.453406108,0.80696134,0.757929231
ZBTB43,0.530918827,0.461307299,0.887294328,1.605732126,0.22591816,1.079944571,0.357754615,0.965433937,1.091345777,0.752037225,0.616914103,1.034223648,0.499895521,0.880481687,1.108806795,0.826966524
CAST,0.490503465,0.500867966,1.028474461,1.193594829,-0.118243356,0.318549556,-0.044191405,0.44071455,0.287510162,-0.123946726,0.176857258,0.865759957,-0.042927794,-0.169815342,0.400815573,1.491857627
RASL11A,0.462515541,0.520324983,2.311605752,2.659186029,1.166144043,0.203219245,0.10263194,0.917398945,0.375329033,0.327393063,1.106327592,1.176016264,0.24179344,0.523034629,0.725485864,1.628371149
ASCC3,0.452400306,0.529871612,0.690834821,0.365443992,0.840278837,0.823063281,0.354544052,0.625306997,0.589589065,0.445826742,0.704569332,0.752785201,0.55792866,0.781126161,0.753759269,1.145008285
ZCWPW1,0.415846737,0.564515869,1.310589452,1.63280206,0.326718159,0.458028352,0.174855237,0.892026836,0.373335234,0.411291673,0.738581435,0.709153568,-0.102305076,0.343295328,1.110202713,1.330356743
ESS2,0.517164216,0.460334698,0.426168245,1.317151822,0.386436537,0.763054265,0.242569502,1.161570426,0.804319044,0.510696317,0.644417317,0.74643771,0.310388668,0.706160265,1.159208241,-0.521526722
FBP2,0.501228426,0.474377273,0.953954815,1.192926894,0.997555918,0.98191483,0.597724138,0.636195326,1.382733848,1.31417112,0.739553675,1.200318243,0.599531348,1.491738526,1.227160389,0.523126049
PEX11A,0.702010774,0.267489938,0.33566547,1.031345841,1.070673135,0.786429911,0.183909849,0.881798438,0.659222771,0.810321183,0.754851459,0.839568731,0.64834908,0.921284606,0.782003175,0.718938089
HSFX4,0.717104553,0.25056393,0.948811033,1.268310902,1.309797892,0.843401292,1.110617652,0.800150958,0.938234989,0.786643971,1.179432861,1.470600545,0.556251589,1.412521697,0.81342352,0.312310249
AC003006.1,0.376272114,0.58980377,0.797162868,1.294042969,0.783925865,0.62563445,0.798737081,1.112258366,0.847760278,0.415063872,0.576563279,1.268792726,0.255681755,0.976902607,0.764828728,0.906561506
ZNF428,0.649580662,0.312477153,0.995718975,1.730627743,0.972250247,1.184940866,0.922636826,1.061328808,0.720190323,0.592393961,-0.292154432,0.770005786,0.087566701,0.46925795,1.134157337,0.385624145
BUD13,0.545330748,0.415654989,1.38507246,1.773909185,0.760322494,1.305365774,1.009346772,1.16463892,0.756340977,0.995161116,0.969969378,0.993774319,1.081778867,1.036189189,1.195724793,0.825707831
WNK3,0.518826914,0.441027238,-0.093962331,0.820222287,0.821197551,0.842500902,0.973269623,0.807109929,0.742115513,0.662850629,1.044384515,1.486806232,0.569589014,1.451687288,0.732870257,-0.191623378
GFY,0.534428975,0.413440091,0.667786811,0.438373028,0.255147024,-0.160216043,-0.419621941,0.543493776,0.107444697,-0.663789907,0.048840953,-0.059560121,-0.801003856,-0.46976456,0.017232818,1.014267196
DHX38,0.462297799,0.484927049,0.355666794,0.645747181,0.285914274,0.847695281,0.527539037,0.836606126,0.62074073,0.830688795,0.545725619,0.74801924,0.399780984,0.568668516,0.765817217,0.571944661
RAB3GAP1,0.498101077,0.445482148,0.707536368,0.88634445,0.525878759,0.389420028,0.543790504,0.748022188,0.453019583,0.352165725,0.384943961,0.43184235,0.750262791,0.446556117,0.514180373,0.78458356
